                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.80759,                0.42041,                 0.8776,                0.88117,                0.87664,                 0.9245,                0.68714,                0.78278,                0.40073,                0.89553,               0.005116,               0.005116,               0.005116
                     76,                 0.8016,                0.41726,                0.87286,                0.92429,                0.84329,                0.91783,                0.70023,                0.77408,                0.40463,                0.89288,                0.00505,                0.00505,                0.00505
                     77,                0.80129,                0.41859,                0.87403,                0.94025,                0.84676,                0.91607,                0.69711,                0.77889,                0.40047,                 0.8958,               0.004984,               0.004984,               0.004984
                     78,                 0.7995,                0.41687,                0.87384,                0.93456,                0.88395,                0.92931,                 0.6895,                0.78343,                0.40089,                0.89761,               0.004918,               0.004918,               0.004918
                     79,                0.79991,                0.41672,                0.87421,                 0.8215,                0.90251,                0.87444,                0.67462,                0.77423,                0.39645,                0.89411,               0.004852,               0.004852,               0.004852
                     80,                0.79783,                0.41357,                0.87349,                0.93428,                0.87398,                0.93507,                0.69963,                0.78564,                0.40213,                0.89733,               0.004786,               0.004786,               0.004786
                     81,                0.79757,                0.41521,                0.87164,                0.89292,                0.87326,                0.92578,                0.69704,                0.77842,                0.40263,                0.89335,                0.00472,                0.00472,                0.00472
                     82,                0.78973,                 0.4117,                0.87306,                0.88838,                0.89465,                0.92406,                0.68617,                0.76661,                0.39644,                0.89044,               0.004654,               0.004654,               0.004654
                     83,                0.78653,                0.40689,                 0.8722,                0.92993,                0.83966,                0.92301,                0.70066,                0.77095,                0.40016,                0.89077,               0.004588,               0.004588,               0.004588
                     84,                0.78926,                0.40832,                0.87206,                0.93162,                0.82832,                0.88606,                0.67537,                0.76893,                0.39383,                0.88985,               0.004522,               0.004522,               0.004522
                     85,                0.78824,                0.40858,                0.87311,                0.88391,                0.90737,                0.94358,                0.70488,                0.77192,                0.39847,                0.89116,               0.004456,               0.004456,               0.004456
                     86,                0.78388,                0.40665,                0.87214,                0.92701,                0.87901,                0.92563,                0.69066,                0.76141,                0.39159,                0.88963,                0.00439,                0.00439,                0.00439
                     87,                0.78628,                0.40851,                0.87281,                  0.916,                0.87725,                0.93475,                0.71448,                0.77273,                0.39615,                0.89233,               0.004324,               0.004324,               0.004324
                     88,                0.78607,                0.40578,                0.87081,                0.89355,                 0.8564,                0.93347,                0.71008,                0.77287,                0.39447,                0.89369,               0.004258,               0.004258,               0.004258
                     89,                0.78272,                 0.4049,                0.87081,                0.92855,                0.87354,                0.93059,                 0.6983,                0.77006,                0.39695,                0.89289,               0.004192,               0.004192,               0.004192
                     90,                0.78386,                0.40361,                0.87139,                0.84406,                0.87715,                0.89697,                0.68521,                0.76385,                0.39314,                0.88976,               0.004126,               0.004126,               0.004126
                     91,                0.77763,                0.40169,                0.86806,                0.86751,                0.90168,                0.91358,                0.70127,                0.76353,                0.39287,                0.89083,                0.00406,                0.00406,                0.00406
                     92,                0.77359,                0.40227,                0.86922,                0.91114,                0.88585,                0.93105,                0.70652,                0.76289,                0.39508,                0.89079,               0.003994,               0.003994,               0.003994
                     93,                0.77595,                0.40089,                 0.8682,                0.92854,                0.84572,                0.92566,                0.69919,                0.76189,                0.38973,                0.88927,               0.003928,               0.003928,               0.003928
                     94,                0.76946,                0.39689,                0.86835,                0.93402,                0.85278,                0.93472,                0.71161,                0.76428,                0.39085,                0.88797,               0.003862,               0.003862,               0.003862
                     95,                0.76745,                0.39779,                0.86695,                0.86743,                0.90572,                0.93362,                 0.7163,                0.76266,                0.39473,                0.88904,               0.003796,               0.003796,               0.003796
                     96,                0.76756,                0.39494,                 0.8664,                0.90588,                0.89154,                0.93673,                0.70878,                0.76035,                0.39327,                0.88894,                0.00373,                0.00373,                0.00373
                     97,                0.76518,                0.39432,                0.86563,                0.93151,                0.85547,                0.92879,                0.69528,                0.75889,                0.39031,                0.88747,               0.003664,               0.003664,               0.003664
                     98,                0.75638,                0.38914,                 0.8649,                0.92825,                 0.8579,                0.93041,                0.69463,                0.76195,                0.38718,                0.88974,               0.003598,               0.003598,               0.003598
                     99,                0.76473,                 0.3934,                0.86513,                0.92381,                0.85779,                0.93185,                0.69451,                0.75857,                 0.3864,                 0.8896,               0.003532,               0.003532,               0.003532
                    100,                0.75628,                0.38999,                0.86477,                0.90047,                 0.8722,                0.91886,                0.70179,                0.75956,                0.38856,                0.88918,               0.003466,               0.003466,               0.003466
